"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked"
0,3,"male",22,1,0,7.25,"","S"
1,1,"female",38,1,0,71.2833,"C","C"
1,3,"female",26,0,0,7.925,"","S"
1,1,"female",35,1,0,53.1,"C","S"
0,3,"male",35,0,0,8.05,"","S"
0,3,"male",31.6898858479969,0,0,8.4583,"","Q"
0,1,"male",54,0,0,51.8625,"E","S"
0,3,"male",2,3,1,21.075,"","S"
1,3,"female",27,0,2,11.1333,"","S"
1,2,"female",14,1,0,30.0708,"","C"
1,3,"female",4,1,1,16.7,"G","S"
1,1,"female",58,0,0,26.55,"C","S"
0,3,"male",20,0,0,8.05,"","S"
0,3,"male",39,1,5,31.275,"","S"
0,3,"female",14,0,0,7.8542,"","S"
1,2,"female",55,0,0,16,"","S"
0,3,"male",2,4,1,29.125,"","Q"
1,2,"male",29.7579273681681,0,0,13,"","S"
0,3,"female",31,1,0,18,"","S"
1,3,"female",20.8387059946109,0,0,7.225,"","C"
0,2,"male",35,0,0,26,"","S"
1,2,"male",34,0,0,13,"D","S"
1,3,"female",15,0,0,8.0292,"","Q"
1,1,"male",28,0,0,35.5,"A","S"
0,3,"female",8,3,1,21.075,"","S"
1,3,"female",38,1,5,31.3875,"","S"
0,3,"male",27.258355784158,0,0,7.225,"","C"
0,1,"male",19,3,2,263,"C","S"
1,3,"female",25.2742117992389,0,0,7.8792,"","Q"
0,3,"male",29.3702382265587,0,0,7.8958,"","S"
0,1,"male",40,0,0,27.7208,"","C"
1,1,"female",29.2810065716069,1,0,146.5208,"B","C"
1,3,"female",25.2750988061633,0,0,7.75,"","Q"
0,2,"male",66,0,0,10.5,"","S"
0,1,"male",28,1,0,82.1708,"","C"
0,1,"male",42,1,0,52,"","S"
1,3,"male",20.3903943160527,0,0,7.2292,"","C"
0,3,"male",21,0,0,8.05,"","S"
0,3,"female",18,2,0,18,"","S"
1,3,"female",14,1,0,11.2417,"","C"
0,3,"female",40,1,0,9.475,"","S"
0,2,"female",27,1,0,21,"","S"
0,3,"male",27.2537504881447,0,0,7.8958,"","C"
1,2,"female",3,1,2,41.5792,"","C"
1,3,"female",19,0,0,7.8792,"","Q"
0,3,"male",29.3691795851674,0,0,8.05,"","S"
0,3,"male",27.5266489484666,1,0,15.5,"","Q"
1,3,"female",25.2750988061633,0,0,7.75,"","Q"
0,3,"male",18.9293363026857,2,0,21.6792,"","C"
0,3,"female",18,1,0,17.8,"","S"
0,3,"male",7,4,1,39.6875,"","S"
0,3,"male",21,0,0,7.8,"","S"
1,1,"female",49,1,0,76.7292,"D","C"
1,2,"female",29,1,0,26,"","S"
0,1,"male",65,0,1,61.9792,"B","C"
1,1,"male",37.5194021830981,0,0,35.5,"C","S"
1,2,"female",21,0,0,10.5,"","S"
0,3,"male",28.5,0,0,7.2292,"","C"
1,2,"female",5,1,2,27.75,"","S"
0,3,"male",11,5,2,46.9,"","S"
0,3,"male",22,0,0,7.2292,"","C"
1,1,"female",38,0,0,80,"B",""
0,1,"male",45,1,0,83.475,"C","S"
0,3,"male",4,3,2,27.9,"","S"
0,1,"male",41.6989724378542,0,0,27.7208,"","C"
1,3,"male",15.4978065777042,1,1,15.2458,"","C"
1,2,"female",29,0,0,10.5,"F","S"
0,3,"male",19,0,0,8.1583,"","S"
1,3,"female",17,4,2,7.925,"","S"
0,3,"male",26,2,0,8.6625,"","S"
0,2,"male",32,0,0,10.5,"","S"
0,3,"female",16,5,2,46.9,"","S"
0,2,"male",21,0,0,73.5,"","S"
0,3,"male",26,1,0,14.4542,"","C"
1,3,"male",32,0,0,56.4958,"","S"
0,3,"male",25,0,0,7.65,"F","S"
0,3,"male",29.3702382265587,0,0,7.8958,"","S"
0,3,"male",29.3691795851674,0,0,8.05,"","S"
1,2,"male",0.83,0,2,29,"","S"
1,3,"female",30,0,0,12.475,"","S"
0,3,"male",22,0,0,9,"","S"
1,3,"male",29,0,0,9.5,"","S"
1,3,"female",25.2748413544631,0,0,7.7875,"","Q"
0,1,"male",28,0,0,47.1,"","S"
1,2,"female",17,0,0,10.5,"","S"
1,3,"female",33,3,0,15.85,"","S"
0,3,"male",16,1,3,34.375,"","S"
0,3,"male",29.3691795851674,0,0,8.05,"","S"
1,1,"female",23,3,2,263,"C","S"
0,3,"male",24,0,0,8.05,"","S"
0,3,"male",29,0,0,8.05,"","S"
0,3,"male",20,0,0,7.8542,"","S"
0,1,"male",46,1,0,61.175,"E","S"
0,3,"male",26,1,2,20.575,"","S"
0,3,"male",59,0,0,7.25,"","S"
0,3,"male",29.3691795851674,0,0,8.05,"","S"
0,1,"male",71,0,0,34.6542,"A","C"
1,1,"male",23,0,1,63.3583,"D","C"
1,2,"female",34,0,1,23,"","S"
0,2,"male",34,1,0,26,"","S"
0,3,"female",28,0,0,7.8958,"","S"
0,3,"male",29.3702382265587,0,0,7.8958,"","S"
0,1,"male",21,0,1,77.2875,"D","S"
0,3,"male",33,0,0,8.6542,"","S"
0,3,"male",37,2,0,7.925,"","S"
0,3,"male",28,0,0,7.8958,"","S"
1,3,"female",21,0,0,7.65,"","S"
1,3,"male",22.5031349307874,0,0,7.775,"","S"
0,3,"male",38,0,0,7.8958,"","S"
1,3,"female",21.0476136334051,1,0,24.15,"","Q"
0,1,"male",47,0,0,52,"C","S"
0,3,"female",14.5,1,0,14.4542,"","C"
0,3,"male",22,0,0,8.05,"","S"
0,3,"female",20,1,0,9.825,"","S"
0,3,"female",17,0,0,14.4583,"","C"
0,3,"male",21,0,0,7.925,"","S"
0,3,"male",70.5,0,0,7.75,"","Q"
0,2,"male",29,1,0,21,"","S"
0,1,"male",24,0,1,247.5208,"B","C"
0,3,"female",2,4,2,31.275,"","S"
0,2,"male",21,2,0,73.5,"","S"
0,3,"male",29.3691795851674,0,0,8.05,"","S"
0,2,"male",32.5,1,0,30.0708,"","C"
1,2,"female",32.5,0,0,13,"E","S"
0,1,"male",54,0,1,77.2875,"D","S"
1,3,"male",12,1,0,11.2417,"","C"
0,3,"male",31.6947485957104,0,0,7.75,"","Q"
1,3,"male",24,0,0,7.1417,"","S"
1,3,"female",8.10412003980064,1,1,22.3583,"F","C"
0,3,"male",45,0,0,6.975,"","S"
0,3,"male",33,0,0,7.8958,"","C"
0,3,"male",20,0,0,7.05,"","S"
0,3,"female",47,1,0,14.5,"","S"
1,2,"female",29,1,0,26,"","S"
0,2,"male",25,0,0,13,"","S"
0,2,"male",23,0,0,15.0458,"","C"
1,1,"female",19,0,2,26.2833,"D","S"
0,1,"male",37,1,0,53.1,"C","S"
0,3,"male",16,0,0,9.2167,"","S"
0,1,"male",24,0,0,79.2,"B","C"
0,3,"female",26.2062572365706,0,2,15.2458,"","C"
1,3,"female",22,0,0,7.75,"","S"
1,3,"female",24,1,0,15.85,"","S"
0,3,"male",19,0,0,6.75,"","Q"
0,2,"male",18,0,0,11.5,"","S"
0,2,"male",19,1,1,36.75,"","S"
1,3,"male",27,0,0,7.7958,"","S"
0,3,"female",9,2,2,34.375,"","S"
0,2,"male",36.5,0,2,26,"F","S"
0,2,"male",42,0,0,13,"","S"
0,2,"male",51,0,0,12.525,"","S"
1,1,"female",22,1,0,66.6,"C","S"
0,3,"male",55.5,0,0,8.05,"","S"
0,3,"male",40.5,0,2,14.5,"","S"
0,3,"male",29.3742428019382,0,0,7.3125,"","S"
0,1,"male",51,0,1,61.3792,"","C"
1,3,"female",16,0,0,7.7333,"","Q"
0,3,"male",30,0,0,8.05,"","S"
0,3,"male",29.3649745407307,0,0,8.6625,"","S"
0,3,"male",0,8,2,69.55,"","S"
0,3,"male",44,0,1,16.1,"","S"
1,2,"female",40,0,0,15.75,"","S"
0,3,"male",26,0,0,7.775,"","S"
0,3,"male",17,0,0,8.6625,"","S"
0,3,"male",1,4,1,39.6875,"","S"
1,3,"male",9,0,2,20.525,"","S"
1,1,"female",39.8890107436771,0,1,55,"E","S"
0,3,"female",45,1,4,27.9,"","S"
0,1,"male",43.8277890232877,0,0,25.925,"","S"
0,3,"male",28,0,0,56.4958,"","S"
0,1,"male",61,0,0,33.5,"B","S"
0,3,"male",4,4,1,29.125,"","Q"
1,3,"female",1,1,1,11.1333,"","S"
0,3,"male",21,0,0,7.925,"","S"
0,1,"male",56,0,0,30.6958,"A","C"
0,3,"male",18,1,1,7.8542,"","S"
0,3,"male",16.1822706756938,3,1,25.4667,"","S"
0,1,"female",50,0,0,28.7125,"C","C"
0,2,"male",30,0,0,13,"","S"
0,3,"male",36,0,0,0,"","S"
0,3,"female",0,8,2,69.55,"","S"
0,2,"male",34.4952982369909,0,0,15.05,"","C"
0,3,"male",9,4,2,31.3875,"","S"
1,2,"male",1,2,1,39,"F","S"
1,3,"female",4,0,2,22.025,"","S"
0,1,"male",50.7666883641676,0,0,50,"A","S"
1,3,"female",21.1069991589195,1,0,15.5,"","Q"
1,1,"male",45,0,0,26.55,"","S"
0,3,"male",40,1,1,15.5,"","Q"
0,3,"male",36,0,0,7.8958,"","S"
1,2,"female",32,0,0,13,"","S"
0,2,"male",19,0,0,13,"","S"
1,3,"female",19,1,0,7.8542,"","S"
1,2,"male",3,1,1,26,"F","S"
1,1,"female",44,0,0,27.7208,"B","C"
1,1,"female",58,0,0,146.5208,"B","C"
0,3,"male",31.6947485957104,0,0,7.75,"","Q"
0,3,"male",42,0,1,8.4042,"","S"
1,3,"female",25.2750988061633,0,0,7.75,"","Q"
0,2,"female",24,0,0,13,"","S"
0,3,"male",28,0,0,9.5,"","S"
0,3,"male",0,8,2,69.55,"","S"
0,3,"male",34,0,0,6.4958,"","S"
0,3,"male",45.5,0,0,7.225,"","C"
1,3,"male",18,0,0,8.05,"","S"
0,3,"female",2,0,1,10.4625,"G","S"
0,3,"male",32,1,0,15.85,"","S"
1,3,"male",26,0,0,18.7875,"","C"
1,3,"female",16,0,0,7.75,"","Q"
1,1,"male",40,0,0,31,"A","C"
0,3,"male",24,0,0,7.05,"","S"
1,2,"female",35,0,0,21,"","S"
0,3,"male",22,0,0,7.25,"","S"
0,2,"male",30,0,0,13,"","S"
0,3,"male",27.579855633176,1,0,7.75,"","Q"
1,1,"female",31,1,0,113.275,"D","C"
1,3,"female",27,0,0,7.925,"","S"
0,2,"male",42,1,0,27,"","S"
1,1,"female",32,0,0,76.2917,"D","C"
0,2,"male",30,0,0,10.5,"","S"
1,3,"male",16,0,0,8.05,"","S"
0,2,"male",27,0,0,13,"","S"
0,3,"male",51,0,0,8.05,"","S"
0,3,"male",29.3702382265587,0,0,7.8958,"","S"
1,1,"male",38,1,0,90,"C","S"
0,3,"male",22,0,0,9.35,"","S"
1,2,"male",19,0,0,10.5,"","S"
0,3,"male",20.5,0,0,7.25,"","S"
0,2,"male",18,0,0,13,"","S"
0,3,"female",16.6305535196616,3,1,25.4667,"","S"
1,1,"female",35,1,0,83.475,"C","S"
0,3,"male",29,0,0,7.775,"","S"
0,2,"male",59,0,0,13.5,"","S"
1,3,"female",5,4,2,31.3875,"","S"
0,2,"male",24,0,0,10.5,"","S"
0,3,"female",29.8208951184713,0,0,7.55,"","S"
0,2,"male",44,1,0,26,"","S"
1,2,"female",8,0,2,26.25,"","S"
0,2,"male",19,0,0,10.5,"","S"
0,2,"male",33,0,0,12.275,"","S"
0,3,"female",23.5421144700944,1,0,14.4542,"","C"
1,3,"female",21.1069991589195,1,0,15.5,"","Q"
0,2,"male",29,0,0,10.5,"","S"
0,3,"male",22,0,0,7.125,"","S"
0,3,"male",30,0,0,7.225,"","C"
0,1,"male",44,2,0,90,"C","Q"
0,3,"female",25,0,0,7.775,"","S"
1,2,"female",24,0,2,14.5,"","S"
1,1,"male",37,1,1,52.5542,"D","S"
0,2,"male",54,1,0,26,"","S"
0,3,"male",29.3746718881052,0,0,7.25,"","S"
0,3,"female",29,1,1,10.4625,"G","S"
0,1,"male",62,0,0,26.55,"C","S"
0,3,"male",30,1,0,16.1,"","S"
0,3,"female",41,0,2,20.2125,"","S"
1,3,"female",29,0,2,15.2458,"","C"
1,1,"female",34.9258984465657,0,0,79.2,"","C"
1,1,"female",30,0,0,86.5,"B","S"
1,1,"female",35,0,0,512.3292,"","C"
1,2,"female",50,0,1,26,"","S"
0,3,"male",31.6947485957104,0,0,7.75,"","Q"
1,3,"male",3,4,2,31.3875,"","S"
0,1,"male",52,1,1,79.65,"E","S"
0,1,"male",40,0,0,0,"B","S"
0,3,"female",32.1430314396782,0,0,7.75,"","Q"
0,2,"male",36,0,0,10.5,"","S"
0,3,"male",16,4,1,39.6875,"","S"
1,3,"male",25,1,0,7.775,"","S"
1,1,"female",58,0,1,153.4625,"C","S"
1,1,"female",35,0,0,135.6333,"C","S"
0,1,"male",43.7929472265263,0,0,31,"","S"
1,3,"male",25,0,0,0,"","S"
1,2,"female",41,0,1,19.5,"","S"
0,1,"male",37,0,1,29.7,"C","C"
1,3,"female",25.2750988061633,0,0,7.75,"","Q"
1,1,"female",63,1,0,77.9583,"D","S"
0,3,"female",45,0,0,7.75,"","S"
0,2,"male",36.7151099244214,0,0,0,"","S"
0,3,"male",7,4,1,29.125,"","Q"
1,3,"female",35,1,1,20.25,"","S"
0,3,"male",65,0,0,7.75,"","Q"
0,3,"male",28,0,0,7.8542,"","S"
0,3,"male",16,0,0,9.5,"","S"
1,3,"male",19,0,0,8.05,"","S"
0,1,"male",50.9314574523001,0,0,26,"A","S"
0,3,"male",33,0,0,8.6625,"","C"
1,3,"male",30,0,0,9.5,"","S"
0,3,"male",22,0,0,7.8958,"","S"
1,2,"male",42,0,0,13,"","S"
1,3,"female",22,0,0,7.75,"","Q"
1,1,"female",26,0,0,78.85,"","S"
1,1,"female",19,1,0,91.0792,"B","C"
0,2,"male",36,0,0,12.875,"D","C"
0,3,"female",24,0,0,8.85,"","S"
0,3,"male",24,0,0,7.8958,"","S"
0,1,"male",41.6989724378542,0,0,27.7208,"","C"
0,3,"male",23.5,0,0,7.2292,"","C"
0,1,"female",2,1,2,151.55,"C","S"
1,1,"male",37.5537290764591,0,0,30.5,"C","S"
1,1,"female",50,0,1,247.5208,"B","C"
1,3,"female",25.2750988061633,0,0,7.75,"","Q"
1,3,"male",16.4906166677079,2,0,23.25,"","Q"
0,3,"male",19,0,0,0,"","S"
1,2,"female",35.9373222811951,0,0,12.35,"E","Q"
0,3,"male",29.3691795851674,0,0,8.05,"","S"
1,1,"male",0.92,1,2,151.55,"C","S"
1,1,"female",34.7083805944812,0,0,110.8833,"","C"
1,1,"female",17,1,0,108.9,"C","C"
0,2,"male",30,1,0,24,"","C"
1,1,"female",30,0,0,56.9292,"E","C"
1,1,"female",24,0,0,83.1583,"C","C"
1,1,"female",18,2,2,262.375,"B","C"
0,2,"female",26,1,1,26,"","S"
0,3,"male",28,0,0,7.8958,"","S"
0,2,"male",43,1,1,26.25,"","S"
1,3,"female",26,0,0,7.8542,"","S"
1,2,"female",24,1,0,26,"","S"
0,2,"male",54,0,0,14,"","S"
1,1,"female",31,0,2,164.8667,"C","S"
1,1,"female",40,1,1,134.5,"E","C"
0,3,"male",22,0,0,7.25,"","S"
0,3,"male",27,0,0,7.8958,"","S"
1,2,"female",30,0,0,12.35,"","Q"
1,2,"female",22,1,1,29,"","S"
0,3,"male",0,8,2,69.55,"","S"
1,1,"female",36,0,0,135.6333,"C","C"
0,3,"male",61,0,0,6.2375,"","S"
1,2,"female",36,0,0,13,"D","S"
1,3,"female",31,1,1,20.525,"","S"
1,1,"female",16,0,1,57.9792,"B","C"
1,3,"female",16.9388995116757,2,0,23.25,"","Q"
0,1,"male",45.5,0,0,28.5,"C","S"
0,1,"male",38,0,1,153.4625,"C","S"
0,3,"male",16,2,0,18,"","S"
1,1,"female",32.5536733537447,1,0,133.65,"","S"
0,3,"male",29.3702382265587,0,0,7.8958,"","S"
0,1,"male",29,1,0,66.6,"C","S"
1,1,"female",41,0,0,134.5,"E","C"
1,3,"male",45,0,0,8.05,"","S"
0,1,"male",45,0,0,35.5,"T","S"
1,2,"male",2,1,1,26,"F","S"
1,1,"female",24,3,2,263,"C","S"
0,2,"male",28,0,0,13,"","S"
0,2,"male",25,0,0,13,"","S"
0,2,"male",36,0,0,13,"","S"
1,2,"female",24,0,0,13,"F","S"
1,2,"female",40,0,0,13,"","S"
1,3,"female",18.7793705347749,1,0,16.1,"","S"
1,3,"male",3,1,1,15.9,"","S"
0,3,"male",42,0,0,8.6625,"","S"
0,3,"male",23,0,0,9.225,"","S"
0,1,"male",44.3907675059491,0,0,35,"C","S"
0,3,"male",15,1,1,7.2292,"","C"
0,3,"male",25,1,0,17.8,"","S"
0,3,"male",27.258355784158,0,0,7.225,"","C"
0,3,"male",28,0,0,9.5,"","S"
1,1,"female",22,0,1,55,"E","S"
0,2,"female",38,0,0,13,"","S"
1,3,"female",25.2742117992389,0,0,7.8792,"","Q"
1,3,"female",25.2742117992389,0,0,7.8792,"","Q"
0,3,"male",40,1,4,27.9,"","S"
0,2,"male",29,1,0,27.7208,"","C"
0,3,"female",45,0,1,14.4542,"","C"
0,3,"male",35,0,0,7.05,"","S"
0,3,"male",27.5266489484666,1,0,15.5,"","Q"
0,3,"male",30,0,0,7.25,"","S"
1,1,"female",60,1,0,75.25,"D","C"
1,3,"female",20.8386771600205,0,0,7.2292,"","C"
1,3,"female",25.2750988061633,0,0,7.75,"","Q"
1,1,"female",24,0,0,69.3,"B","C"
1,1,"male",25,1,0,55.4417,"E","C"
0,3,"male",18,1,0,6.4958,"","S"
0,3,"male",19,0,0,8.05,"","S"
0,1,"male",22,0,0,135.6333,"","C"
0,3,"female",3,3,1,21.075,"","S"
1,1,"female",30.790609817072,1,0,82.1708,"","C"
1,3,"female",22,0,0,7.25,"","S"
0,1,"male",27,0,2,211.5,"C","C"
0,3,"male",20,0,0,4.0125,"","C"
0,3,"male",19,0,0,7.775,"","S"
1,1,"female",42,0,0,227.525,"","C"
1,3,"female",1,0,2,15.7417,"","C"
0,3,"male",32,0,0,7.925,"","S"
1,1,"female",35,1,0,52,"","S"
0,3,"male",29.3702382265587,0,0,7.8958,"","S"
0,2,"male",18,0,0,73.5,"","S"
0,3,"male",1,5,2,46.9,"","S"
1,2,"female",36,0,0,13,"","S"
0,3,"male",31.6948913955868,0,0,7.7292,"","Q"
1,2,"female",17,0,0,12,"","C"
1,1,"male",36,1,2,120,"B","S"
1,3,"male",21,0,0,7.7958,"","S"
0,3,"male",28,2,0,7.925,"","S"
1,1,"female",23,1,0,113.275,"D","C"
1,3,"female",24,0,2,16.7,"G","S"
0,3,"male",22,0,0,7.7958,"","S"
0,3,"female",31,0,0,7.8542,"","S"
0,2,"male",46,0,0,26,"","S"
0,2,"male",23,0,0,10.5,"","S"
1,2,"female",28,0,0,12.65,"","S"
1,3,"male",39,0,0,7.925,"","S"
0,3,"male",26,0,0,8.05,"","S"
0,3,"female",21,1,0,9.825,"","S"
0,3,"male",28,1,0,15.85,"","S"
0,3,"female",20,0,0,8.6625,"","S"
0,2,"male",34,1,0,21,"","S"
0,3,"male",51,0,0,7.75,"","S"
1,2,"male",3,1,1,18.75,"","S"
0,3,"male",21,0,0,7.775,"","S"
0,3,"female",16.6305535196616,3,1,25.4667,"","S"
0,3,"male",29.3702382265587,0,0,7.8958,"","S"
0,3,"male",31.7008704538724,0,0,6.8583,"","Q"
1,1,"female",33,1,0,90,"C","Q"
0,2,"male",36.7151099244214,0,0,0,"","S"
1,3,"male",44,0,0,7.925,"","S"
0,3,"female",29.8174624291352,0,0,8.05,"","S"
1,2,"female",34,1,1,32.5,"","S"
1,2,"female",18,0,2,13,"","S"
0,2,"male",30,0,0,13,"","S"
0,3,"female",10,0,2,24.15,"","S"
0,3,"male",27.2537504881447,0,0,7.8958,"","C"
0,3,"male",21,0,0,7.7333,"","Q"
0,3,"male",29,0,0,7.875,"","S"
0,3,"female",28,1,1,14.4,"","S"
0,3,"male",18,1,1,20.2125,"","S"
0,3,"male",29.3746718881052,0,0,7.25,"","S"
1,2,"female",28,1,0,26,"","S"
1,2,"female",19,0,0,26,"","S"
0,3,"male",31.6947485957104,0,0,7.75,"","Q"
1,3,"male",32,0,0,8.05,"E","S"
1,1,"male",28,0,0,26.55,"C","S"
1,3,"female",18.7793705347749,1,0,16.1,"","S"
1,2,"female",42,1,0,26,"","S"
0,3,"male",17,0,0,7.125,"","S"
0,1,"male",50,1,0,55.9,"E","S"
1,1,"female",14,1,2,120,"B","S"
0,3,"female",21,2,2,34.375,"","S"
1,2,"female",24,2,3,18.75,"","S"
0,1,"male",64,1,4,263,"C","S"
0,2,"male",31,0,0,10.5,"","S"
1,2,"female",45,1,1,26.25,"","S"
0,3,"male",20,0,0,9.5,"","S"
0,3,"male",25,1,0,7.775,"","S"
1,2,"female",28,0,0,13,"","S"
